date,district,daily_consumption_kwh,temperature_c,day_of_week,population
2022-01-16,District B,52.0,0.7,Sunday,15000
2022-01-16,District C,54.5,4.9,Sunday,20000
2022-01-16,District D,51.4,3.4,Sunday,12000
2022-01-16,District E,33.5,1.2,Sunday,8000
2022-01-17,District A,40.9,1.8,Monday,10000
2022-01-17,District B,56.8,3.2,Monday,15000
2022-01-17,District C,94.6,0.5,Monday,20000
2022-01-17,District D,32.3,1.6,Monday,12000
2022-01-17,District E,31.7,0.2,Monday,8000
2022-01-18,District A,20.5,3.4,Tuesday,10000
2022-01-18,District B,40.2,2.6,Tuesday,15000
2022-01-18,District C,50.5,3.2,Tuesday,20000
2022-01-18,District D,37.9,3.5,Tuesday,12000
2022-01-18,District E,19.3,4.7,Tuesday,8000
2022-01-19,District A,23.4,1.7,Wednesday,10000
2022-01-19,District B,69.5,4.6,Wednesday,15000
2022-01-19,District C,79.6,1.3,Wednesday,20000
2022-01-19,District D,44.0,4.1,Wednesday,12000
2022-01-19,District E,21.8,2.6,Wednesday,8000
2022-01-20,District A,46.9,0.5,Thursday,10000
2022-01-20,District B,58.5,4.5,Thursday,15000
2022-01-20,District C,61.0,1.7,Thursday,20000
2022-01-20,District D,56.3,3.6,Thursday,12000
2022-01-20,District E,34.7,4.4,Thursday,8000
2022-01-21,District A,23.7,3.2,Friday,10000
2022-01-21,District B,74.0,0.8,Friday,15000
2022-01-21,District C,42.6,3.0,Friday,20000
2022-01-21,District D,50.3,0.5,Friday,12000
2022-01-21,District E,20.9,0.0,Friday,8000
2022-01-22,District A,40.8,2.7,Saturday,10000
2022-01-22,District B,40.1,3.3,Saturday,15000
2022-01-22,District C,54.2,3.6,Saturday,20000
2022-01-22,District D,50.9,1.6,Saturday,12000
2022-01-22,District E,36.4,3.2,Saturday,8000
2022-01-23,District A,37.0,3.3,Sunday,10000
2022-01-23,District B,46.5,0.5,Sunday,15000
2022-01-23,District C,54.6,1.3,Sunday,20000
2022-01-23,District D,38.2,4.9,Sunday,12000
2022-01-23,District E,31.1,4.5,Sunday,8000
2022-01-24,District A,36.8,4.0,Monday,10000
2022-01-24,District B,54.8,2.9,Monday,15000
2022-01-24,District C,87.5,1.0,Monday,20000
2022-01-24,District D,26.1,1.4,Monday,12000
2022-01-24,District E,21.3,3.2,Monday,8000
2022-01-25,District A,48.6,4.7,Tuesday,10000
2022-01-25,District B,46.7,4.6,Tuesday,15000
2022-01-25,District C,95.7,0.1,Tuesday,20000
2022-01-25,District D,58.8,2.1,Tuesday,12000
2022-01-25,District E,36.5,4.8,Tuesday,8000
2022-01-26,District A,31.6,1.5,Wednesday,10000
2022-01-26,District B,44.3,4.3,Wednesday,15000
2022-01-26,District C,73.4,0.8,Wednesday,20000
2022-01-26,District D,49.1,4.7,Wednesday,12000
2022-01-26,District E,18.3,2.9,Wednesday,8000
2022-01-27,District A,49.7,3.1,Thursday,10000
2022-01-27,District B,53.3,0.7,Thursday,15000
2022-01-27,District C,84.4,4.4,Thursday,20000
2022-01-27,District D,49.3,3.5,Thursday,12000
2022-01-27,District E,23.0,1.8,Thursday,8000
2022-01-28,District A,46.5,4.0,Friday,10000
2022-01-28,District B,74.7,4.3,Friday,15000
2022-01-28,District C,73.6,2.6,Friday,20000
2022-01-28,District D,49.8,4.0,Friday,12000
2022-01-28,District E,36.9,3.5,Friday,8000
2022-01-29,District A,30.1,4.5,Saturday,10000
2022-01-29,District B,34.2,1.9,Saturday,15000
2022-01-29,District C,42.2,2.9,Saturday,20000
2022-01-29,District D,43.5,2.3,Saturday,12000
2022-01-29,District E,30.2,1.4,Saturday,8000
2022-01-30,District A,21.1,0.2,Sunday,10000
2022-01-30,District B,46.2,4.1,Sunday,15000
2022-01-30,District C,71.3,0.6,Sunday,20000
2022-01-30,District D,31.8,3.8,Sunday,12000
2022-01-30,District E,18.0,3.1,Sunday,8000
2022-01-31,District A,37.7,0.3,Monday,10000
2022-01-31,District B,61.6,2.7,Monday,15000
2022-01-31,District C,103.5,3.6,Monday,20000
2022-01-31,District D,37.4,2.6,Monday,12000
2022-01-31,District E,23.6,4.0,Monday,8000
2022-02-01,District A,22.4,3.2,Tuesday,10000
2022-02-01,District B,73.3,1.1,Tuesday,15000
2022-02-01,District C,81.8,5.2,Tuesday,20000
2022-02-01,District D,30.2,3.0,Tuesday,12000
2022-02-01,District E,22.0,1.8,Tuesday,8000
2022-02-02,District A,41.4,3.7,Wednesday,10000
2022-02-02,District B,42.6,4.3,Wednesday,15000
2022-02-02,District C,84.3,5.8,Wednesday,20000
2022-02-02,District D,46.0,3.8,Wednesday,12000
2022-02-02,District E,21.9,3.1,Wednesday,8000
2022-02-03,District A,42.7,2.8,Thursday,10000
2022-02-03,District B,35.2,1.1,Thursday,15000
2022-02-03,District C,42.4,1.2,Thursday,20000
2022-02-03,District D,49.3,5.3,Thursday,12000
2022-02-03,District E,18.3,3.4,Thursday,8000
2022-02-04,District A,35.9,3.5,Friday,10000
2022-02-04,District B,52.0,1.9,Friday,15000
2022-02-04,District C,80.8,3.0,Friday,20000
2022-02-04,District D,26.9,4.2,Friday,12000
2022-02-04,District E,32.6,2.9,Friday,8000
2022-02-05,District A,45.7,3.5,Saturday,10000
2022-02-05,District B,37.3,4.3,Saturday,15000
2022-02-05,District C,78.5,1.4,Saturday,20000
2022-02-05,District D,45.1,1.1,Saturday,12000
2022-02-05,District E,29.8,5.7,Saturday,8000
2022-02-06,District A,39.3,2.9,Sunday,10000
2022-02-06,District B,54.6,3.3,Sunday,15000
2022-02-06,District C,63.2,5.7,Sunday,20000
2022-02-06,District D,56.6,5.8,Sunday,12000
2022-02-06,District E,17.7,2.0,Sunday,8000
2022-02-07,District A,21.6,1.5,Monday,10000
2022-02-07,District B,63.8,1.5,Monday,15000
2022-02-07,District C,62.1,1.4,Monday,20000
2022-02-07,District D,26.1,5.2,Monday,12000
2022-02-07,District E,23.9,5.1,Monday,8000
2022-02-08,District A,40.9,1.6,Tuesday,10000
2022-02-08,District B,69.5,4.1,Tuesday,15000
2022-02-08,District C,88.2,4.7,Tuesday,20000
2022-02-08,District D,30.4,2.4,Tuesday,12000
2022-02-08,District E,35.4,4.8,Tuesday,8000
2022-02-09,District A,32.4,6.0,Wednesday,10000
2022-02-09,District B,64.9,2.9,Wednesday,15000
2022-02-09,District C,95.8,2.7,Wednesday,20000
2022-02-09,District D,39.4,5.3,Wednesday,12000
2022-02-09,District E,34.1,4.8,Wednesday,8000
2022-02-10,District A,47.1,1.5,Thursday,10000
2022-02-10,District B,67.2,3.5,Thursday,15000
2022-02-10,District C,93.7,2.6,Thursday,20000
2022-02-10,District D,24.4,2.9,Thursday,12000
2022-02-10,District E,18.2,5.5,Thursday,8000
2022-02-11,District A,50.9,2.6,Friday,10000
2022-02-11,District B,58.6,5.8,Friday,15000
2022-02-11,District C,70.3,4.2,Friday,20000
2022-02-11,District D,37.6,2.5,Friday,12000
2022-02-11,District E,35.8,4.4,Friday,8000
2022-02-12,District A,43.7,5.0,Saturday,10000
2022-02-12,District B,52.2,1.5,Saturday,15000
2022-02-12,District C,73.0,1.3,Saturday,20000
2022-02-12,District D,56.0,3.2,Saturday,12000
2022-02-12,District E,18.8,2.8,Saturday,8000
2022-02-13,District A,42.8,1.7,Sunday,10000
2022-02-13,District B,34.6,4.1,Sunday,15000
2022-02-13,District C,82.1,1.4,Sunday,20000
2022-02-13,District D,53.6,1.4,Sunday,12000
2022-02-13,District E,18.0,4.5,Sunday,8000
2022-02-14,District A,52.1,1.4,Monday,10000
2022-02-14,District B,49.0,2.9,Monday,15000
2022-02-14,District C,101.7,5.1,Monday,20000
2022-02-14,District D,53.7,5.9,Monday,12000
2022-02-14,District E,18.9,2.9,Monday,8000
2022-02-15,District A,36.8,4.9,Tuesday,10000
2022-02-15,District B,70.8,3.1,Tuesday,15000
2022-02-15,District C,69.6,1.6,Tuesday,20000
2022-02-15,District D,40.9,1.1,Tuesday,12000
2022-02-15,District E,18.9,1.3,Tuesday,8000
2022-02-16,District A,39.5,1.6,Wednesday,10000
2022-02-16,District B,56.3,4.7,Wednesday,15000
2022-02-16,District C,62.5,5.8,Wednesday,20000
2022-02-16,District D,55.3,2.4,Wednesday,12000
2022-02-16,District E,39.1,2.1,Wednesday,8000
2022-02-17,District A,49.1,1.1,Thursday,10000
2022-02-17,District B,70.1,1.2,Thursday,15000
2022-02-17,District C,99.6,3.6,Thursday,20000
2022-02-17,District D,43.9,1.4,Thursday,12000
2022-02-17,District E,28.6,5.8,Thursday,8000
2022-02-18,District A,42.9,4.1,Friday,10000
2022-02-18,District B,61.2,3.3,Friday,15000
2022-02-18,District C,98.8,3.9,Friday,20000
2022-02-18,District D,35.8,1.2,Friday,12000
2022-02-18,District E,39.2,5.8,Friday,8000
2022-02-19,District A,38.6,3.3,Saturday,10000
2022-02-19,District B,38.5,2.4,Saturday,15000
2022-02-19,District C,61.2,3.3,Saturday,20000
2022-02-19,District D,26.8,3.9,Saturday,12000
2022-02-19,District E,39.7,5.9,Saturday,8000
2022-02-20,District A,36.1,4.5,Sunday,10000
2022-02-20,District B,66.6,2.5,Sunday,15000
2022-02-20,District C,49.8,4.4,Sunday,20000
2022-02-20,District D,53.6,5.6,Sunday,12000
2022-02-20,District E,33.4,5.7,Sunday,8000
2022-02-21,District A,34.2,4.1,Monday,10000
2022-02-21,District B,72.4,5.7,Monday,15000
2022-02-21,District C,43.7,1.2,Monday,20000
2022-02-21,District D,55.8,2.9,Monday,12000
2022-02-21,District E,20.6,5.9,Monday,8000
2022-02-22,District A,31.4,4.0,Tuesday,10000
2022-02-22,District B,67.9,5.8,Tuesday,15000
2022-02-22,District C,68.1,5.2,Tuesday,20000
2022-02-22,District D,33.8,3.1,Tuesday,12000
2022-02-22,District E,36.8,1.3,Tuesday,8000
2022-02-23,District A,50.0,5.1,Wednesday,10000
2022-02-23,District B,55.0,6.0,Wednesday,15000
2022-02-23,District C,96.7,4.8,Wednesday,20000
2022-02-23,District D,32.9,5.2,Wednesday,12000
2022-02-23,District E,19.1,3.3,Wednesday,8000
2022-02-24,District A,38.2,5.8,Thursday,10000
2022-02-24,District B,60.2,2.1,Thursday,15000
2022-02-24,District C,61.5,4.1,Thursday,20000
2022-02-24,District D,48.2,1.6,Thursday,12000
2022-02-24,District E,34.5,3.6,Thursday,8000
2022-02-25,District A,47.8,3.6,Friday,10000
2022-02-25,District B,58.0,3.8,Friday,15000
2022-02-25,District C,67.4,5.4,Friday,20000
2022-02-25,District D,26.3,1.7,Friday,12000
2022-02-25,District E,32.4,4.8,Friday,8000
2022-02-26,District A,26.4,4.5,Saturday,10000
2022-02-26,District B,30.7,1.7,Saturday,15000
2022-02-26,District C,75.4,2.8,Saturday,20000
2022-02-26,District D,39.7,3.0,Saturday,12000
2022-02-26,District E,24.4,5.5,Saturday,8000
2022-02-27,District A,43.5,3.6,Sunday,10000
2022-02-27,District B,58.0,3.0,Sunday,15000
2022-02-27,District C,97.0,5.3,Sunday,20000
2022-02-27,District D,57.4,1.7,Sunday,12000
2022-02-27,District E,22.2,3.5,Sunday,8000
2022-02-28,District A,51.9,3.3,Monday,10000
2022-02-28,District B,47.0,3.5,Monday,15000
2022-02-28,District C,57.1,4.2,Monday,20000
2022-02-28,District D,30.1,1.4,Monday,12000
2022-02-28,District E,20.6,1.6,Monday,8000
2022-03-01,District A,39.2,6.0,Tuesday,10000
2022-03-01,District B,45.6,6.3,Tuesday,15000
2022-03-01,District C,68.4,11.3,Tuesday,20000
2022-03-01,District D,30.2,9.7,Tuesday,12000
2022-03-01,District E,17.0,6.3,Tuesday,8000
2022-03-02,District A,28.4,6.2,Wednesday,10000
2022-03-02,District B,34.0,6.2,Wednesday,15000
2022-03-02,District C,67.6,5.8,Wednesday,20000
2022-03-02,District D,37.1,6.4,Wednesday,12000
2022-03-02,District E,32.6,8.5,Wednesday,8000
2022-03-03,District A,44.0,5.3,Thursday,10000
2022-03-03,District B,33.7,9.4,Thursday,15000
2022-03-03,District C,95.3,11.1,Thursday,20000
2022-03-03,District D,34.0,5.4,Thursday,12000
2022-03-03,District E,34.0,10.6,Thursday,8000
2022-03-04,District A,27.6,6.3,Friday,10000
2022-03-04,District B,54.4,7.6,Friday,15000
2022-03-04,District C,65.2,9.3,Friday,20000
2022-03-04,District D,53.5,8.2,Friday,12000
2022-03-04,District E,23.2,5.3,Friday,8000
2022-03-05,District A,46.9,10.0,Saturday,10000
2022-03-05,District B,53.9,8.6,Saturday,15000
2022-03-05,District C,66.8,5.8,Saturday,20000
2022-03-05,District D,32.7,8.7,Saturday,12000
2022-03-05,District E,25.1,6.9,Saturday,8000
2022-03-06,District A,29.7,5.1,Sunday,10000
2022-03-06,District B,44.7,6.5,Sunday,15000
2022-03-06,District C,93.4,5.8,Sunday,20000
2022-03-06,District D,48.4,9.2,Sunday,12000
2022-03-06,District E,28.0,10.5,Sunday,8000
2022-03-07,District A,37.9,5.6,Monday,10000
2022-03-07,District B,66.7,9.1,Monday,15000
2022-03-07,District C,50.0,8.0,Monday,20000
2022-03-07,District D,38.9,7.0,Monday,12000
2022-03-07,District E,31.2,9.5,Monday,8000
2022-03-08,District A,49.6,7.5,Tuesday,10000
2022-03-08,District B,40.7,9.2,Tuesday,15000
2022-03-08,District C,49.2,5.7,Tuesday,20000
2022-03-08,District D,29.8,6.7,Tuesday,12000
2022-03-08,District E,22.8,6.3,Tuesday,8000
2022-03-09,District A,46.9,6.2,Wednesday,10000
2022-03-09,District B,53.6,5.6,Wednesday,15000
2022-03-09,District C,98.9,7.9,Wednesday,20000
2022-03-09,District D,38.3,5.8,Wednesday,12000
2022-03-09,District E,36.8,11.8,Wednesday,8000
2022-03-10,District A,27.7,10.7,Thursday,10000
2022-03-10,District B,60.1,6.2,Thursday,15000
2022-03-10,District C,73.4,11.5,Thursday,20000
2022-03-10,District D,34.1,9.0,Thursday,12000
2022-03-10,District E,20.5,10.4,Thursday,8000
2022-03-11,District A,34.4,7.3,Friday,10000
2022-03-11,District B,43.0,8.6,Friday,15000
2022-03-11,District C,80.5,5.8,Friday,20000
2022-03-11,District D,47.2,7.0,Friday,12000
2022-03-11,District E,28.9,6.1,Friday,8000
2022-03-12,District A,21.6,8.7,Saturday,10000
2022-03-12,District B,36.0,7.4,Saturday,15000
2022-03-12,District C,99.4,5.4,Saturday,20000
2022-03-12,District D,53.2,7.3,Saturday,12000
2022-03-12,District E,32.4,6.8,Saturday,8000
2022-03-13,District A,37.9,10.3,Sunday,10000
2022-03-13,District B,48.5,8.3,Sunday,15000
2022-03-13,District C,95.8,7.4,Sunday,20000
2022-03-13,District D,58.7,10.8,Sunday,12000
2022-03-13,District E,33.5,5.9,Sunday,8000
2022-03-14,District A,26.7,11.6,Monday,10000
2022-03-14,District B,66.5,5.5,Monday,15000
2022-03-14,District C,95.0,9.0,Monday,20000
2022-03-14,District D,55.3,6.0,Monday,12000
2022-03-14,District E,20.9,6.4,Monday,8000
2022-03-15,District A,44.4,6.1,Tuesday,10000
2022-03-15,District B,53.5,9.7,Tuesday,15000
2022-03-15,District C,92.6,7.5,Tuesday,20000
2022-03-15,District D,53.4,7.7,Tuesday,12000
2022-03-15,District E,25.0,8.1,Tuesday,8000
2022-03-16,District A,29.0,8.2,Wednesday,10000
2022-03-16,District B,52.6,10.2,Wednesday,15000
2022-03-16,District C,94.0,6.6,Wednesday,20000
2022-03-16,District D,43.6,7.7,Wednesday,12000
2022-03-16,District E,31.0,11.3,Wednesday,8000
2022-03-17,District A,48.2,5.8,Thursday,10000
2022-03-17,District B,45.1,9.4,Thursday,15000
2022-03-17,District C,87.6,6.0,Thursday,20000
2022-03-17,District D,43.2,9.3,Thursday,12000
2022-03-17,District E,34.9,11.3,Thursday,8000
2022-03-18,District A,30.8,6.1,Friday,10000
2022-03-18,District B,66.7,6.7,Friday,15000
2022-03-18,District C,77.9,5.2,Friday,20000
2022-03-18,District D,58.3,10.3,Friday,12000
2022-03-18,District E,37.5,7.4,Friday,8000
2022-03-19,District A,45.4,5.8,Saturday,10000
2022-03-19,District B,47.9,5.9,Saturday,15000
2022-03-19,District C,49.0,10.6,Saturday,20000
2022-03-19,District D,50.0,6.6,Saturday,12000
2022-03-19,District E,31.4,10.0,Saturday,8000
2022-03-20,District A,36.3,9.9,Sunday,10000
2022-03-20,District B,45.6,6.8,Sunday,15000
2022-03-20,District C,94.5,6.3,Sunday,20000
2022-03-20,District D,38.4,9.1,Sunday,12000
2022-03-20,District E,38.7,8.2,Sunday,8000
2022-03-21,District A,39.5,6.1,Monday,10000
2022-03-21,District B,60.4,8.5,Monday,15000
2022-03-21,District C,96.9,5.1,Monday,20000
2022-03-21,District D,46.6,11.5,Monday,12000
2022-03-21,District E,40.0,9.9,Monday,8000
2022-03-22,District A,24.6,10.0,Tuesday,10000
2022-03-22,District B,57.3,9.0,Tuesday,15000
2022-03-22,District C,84.2,8.0,Tuesday,20000
2022-03-22,District D,57.3,11.5,Tuesday,12000
2022-03-22,District E,18.7,8.2,Tuesday,8000
2022-03-23,District A,45.2,11.9,Wednesday,10000
2022-03-23,District B,71.4,5.9,Wednesday,15000
2022-03-23,District C,71.1,11.1,Wednesday,20000
2022-03-23,District D,38.4,9.1,Wednesday,12000
2022-03-23,District E,24.0,5.4,Wednesday,8000
2022-03-24,District A,20.1,10.6,Thursday,10000
2022-03-24,District B,47.9,7.3,Thursday,15000
2022-03-24,District C,95.2,8.8,Thursday,20000
2022-03-24,District D,36.5,7.4,Thursday,12000
2022-03-24,District E,26.9,10.2,Thursday,8000
2022-03-25,District A,35.3,6.6,Friday,10000
2022-03-25,District B,39.8,6.0,Friday,15000
2022-03-25,District C,68.4,8.5,Friday,20000
2022-03-25,District D,38.9,11.4,Friday,12000
2022-03-25,District E,32.7,9.1,Friday,8000
2022-03-26,District A,39.9,5.1,Saturday,10000
2022-03-26,District B,73.2,6.2,Saturday,15000
2022-03-26,District C,64.9,6.0,Saturday,20000
2022-03-26,District D,59.9,5.6,Saturday,12000
2022-03-26,District E,30.3,8.5,Saturday,8000
2022-03-27,District A,42.5,5.5,Sunday,10000
2022-03-27,District B,70.4,6.5,Sunday,15000
2022-03-27,District C,51.4,6.4,Sunday,20000
2022-03-27,District D,41.0,5.3,Sunday,12000
2022-03-27,District E,17.6,9.0,Sunday,8000
2022-03-28,District A,35.3,10.4,Monday,10000
2022-03-28,District B,52.3,8.7,Monday,15000
2022-03-28,District C,77.3,7.8,Monday,20000
2022-03-28,District D,32.1,6.1,Monday,12000
2022-03-28,District E,40.6,11.0,Monday,8000
2022-03-29,District A,28.1,7.6,Tuesday,10000
2022-03-29,District B,48.4,9.5,Tuesday,15000
2022-03-29,District C,49.4,5.2,Tuesday,20000
2022-03-29,District D,47.7,10.0,Tuesday,12000
2022-03-29,District E,21.3,5.2,Tuesday,8000
2022-03-30,District A,40.2,6.6,Wednesday,10000
2022-03-30,District B,34.7,5.1,Wednesday,15000
2022-03-30,District C,50.7,10.6,Wednesday,20000
2022-03-30,District D,32.6,9.6,Wednesday,12000
2022-03-30,District E,21.8,5.7,Wednesday,8000
2022-03-31,District A,45.7,10.1,Thursday,10000
2022-03-31,District B,47.9,10.8,Thursday,15000
2022-03-31,District C,52.3,9.7,Thursday,20000
2022-03-31,District D,56.3,7.1,Thursday,12000
2022-03-31,District E,18.1,5.1,Thursday,8000
2022-04-01,District A,21.8,11.7,Friday,10000
2022-04-01,District B,59.0,11.5,Friday,15000
2022-04-01,District C,98.2,13.4,Friday,20000
2022-04-01,District D,38.1,16.5,Friday,12000
2022-04-01,District E,26.4,12.1,Friday,8000
2022-04-02,District A,28.0,14.7,Saturday,10000
2022-04-02,District B,48.4,15.0,Saturday,15000
2022-04-02,District C,66.2,14.4,Saturday,20000
2022-04-02,District D,58.1,12.4,Saturday,12000
2022-04-02,District E,19.4,16.1,Saturday,8000
2022-04-03,District A,34.6,16.9,Sunday,10000
2022-04-03,District B,66.0,17.2,Sunday,15000
2022-04-03,District C,41.3,13.4,Sunday,20000
2022-04-03,District D,43.5,12.1,Sunday,12000
2022-04-03,District E,22.2,15.1,Sunday,8000
2022-04-04,District A,47.3,11.1,Monday,10000
2022-04-04,District B,56.3,17.9,Monday,15000
2022-04-04,District C,59.2,11.4,Monday,20000
2022-04-04,District D,59.8,10.1,Monday,12000
2022-04-04,District E,31.3,10.9,Monday,8000
2022-04-05,District A,36.6,12.2,Tuesday,10000
2022-04-05,District B,67.3,15.2,Tuesday,15000
2022-04-05,District C,40.7,11.7,Tuesday,20000
2022-04-05,District D,56.4,11.1,Tuesday,12000
2022-04-05,District E,30.3,17.0,Tuesday,8000
2022-04-06,District A,40.0,14.8,Wednesday,10000
2022-04-06,District B,71.1,11.4,Wednesday,15000
2022-04-06,District C,63.0,13.4,Wednesday,20000
2022-04-06,District D,25.7,14.2,Wednesday,12000
2022-04-06,District E,33.7,11.3,Wednesday,8000
2022-04-07,District A,38.1,10.7,Thursday,10000
2022-04-07,District B,47.5,12.0,Thursday,15000
2022-04-07,District C,61.3,12.3,Thursday,20000
2022-04-07,District D,34.7,15.8,Thursday,12000
2022-04-07,District E,27.4,14.5,Thursday,8000
2022-04-08,District A,50.5,15.3,Friday,10000
2022-04-08,District B,41.7,15.9,Friday,15000
2022-04-08,District C,58.5,10.2,Friday,20000
2022-04-08,District D,27.1,14.8,Friday,12000
2022-04-08,District E,31.8,14.0,Friday,8000
2022-04-09,District A,43.1,12.7,Saturday,10000
2022-04-09,District B,33.4,10.9,Saturday,15000
2022-04-09,District C,69.7,15.8,Saturday,20000
2022-04-09,District D,39.7,15.5,Saturday,12000
2022-04-09,District E,35.7,12.0,Saturday,8000
2022-04-10,District A,40.8,16.4,Sunday,10000
2022-04-10,District B,56.6,12.2,Sunday,15000
2022-04-10,District C,45.5,12.9,Sunday,20000
2022-04-10,District D,28.9,17.3,Sunday,12000
2022-04-10,District E,26.7,17.6,Sunday,8000
2022-04-11,District A,38.1,11.5,Monday,10000
2022-04-11,District B,66.1,17.0,Monday,15000
2022-04-11,District C,83.5,16.5,Monday,20000
2022-04-11,District D,57.3,15.5,Monday,12000
2022-04-11,District E,29.1,12.0,Monday,8000
2022-04-12,District A,49.6,11.8,Tuesday,10000
2022-04-12,District B,31.8,17.6,Tuesday,15000
2022-04-12,District C,95.5,15.6,Tuesday,20000
2022-04-12,District D,44.4,11.4,Tuesday,12000
2022-04-12,District E,16.8,17.3,Tuesday,8000
2022-04-13,District A,28.9,15.6,Wednesday,10000
2022-04-13,District B,73.7,17.4,Wednesday,15000
2022-04-13,District C,68.5,17.6,Wednesday,20000
2022-04-13,District D,54.4,16.9,Wednesday,12000
2022-04-13,District E,35.9,12.6,Wednesday,8000
2022-04-14,District A,37.9,10.3,Thursday,10000
2022-04-14,District B,35.4,11.8,Thursday,15000
2022-04-14,District C,81.8,10.6,Thursday,20000
2022-04-14,District D,50.1,12.7,Thursday,12000
2022-04-14,District E,23.6,10.5,Thursday,8000
2022-04-15,District A,45.9,14.3,Friday,10000
2022-04-15,District B,61.1,12.6,Friday,15000
2022-04-15,District C,80.8,17.1,Friday,20000
2022-04-15,District D,26.1,11.9,Friday,12000
2022-04-15,District E,17.3,17.0,Friday,8000
2022-04-16,District A,35.9,17.0,Saturday,10000
2022-04-16,District B,65.9,17.5,Saturday,15000
2022-04-16,District C,61.0,18.0,Saturday,20000
2022-04-16,District D,38.5,16.1,Saturday,12000
2022-04-16,District E,31.1,13.8,Saturday,8000
2022-04-17,District A,49.5,17.0,Sunday,10000
2022-04-17,District B,48.8,16.1,Sunday,15000
2022-04-17,District C,84.3,13.4,Sunday,20000
2022-04-17,District D,28.0,11.9,Sunday,12000
2022-04-17,District E,22.9,12.8,Sunday,8000
2022-04-18,District A,28.4,12.4,Monday,10000
